run_name,run_id,data_version,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,threshold_fix_applied,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col
acled_event_food_rain_text_conflict_pca_1_4,b4b92ef199a640ce840f45895fd54f8f,acled_event_food_rain_text_conflict,True,True,True,True,True,1,False,4,event_type,0.2428,38,0.3156,0.3094,0.6515,0.4195,0.3073,0.2432,0.7423,0.3664,0.6,5,2,5,7,0,0.1,1,0.6,0.6,1,4,event_type
acled_event_food_rain_text_conflict_1_4,98b2ad0f65814306863f933cbc66ff38,acled_event_food_rain_text_conflict,True,True,True,True,False,1,False,4,event_type,0.4297,782,0.3616,0.2993,0.6667,0.4131,0.2834,0.2795,0.6598,0.3926,1.0,5,1,5,3,5,0.01,5,0.6,1.0,1,4,event_type
acled_event_food_rain_text_conflict_pca_1_5,d6cdfbb366804be0bed8876b47eb6a8b,acled_event_food_rain_text_conflict,True,True,True,True,True,1,False,5,event_type,0.1054,38,0.3056,0.3141,0.9091,0.4669,0.3042,0.2381,0.9278,0.3789,1.0,5,0,1,3,5,0.1,0,1.0,0.6,1,5,event_type
acled_event_food_rain_text_conflict_1_5,6e34a8a0dd354253bb7b3cd6526ca5f8,acled_event_food_rain_text_conflict,True,True,True,True,False,1,False,5,event_type,0.3545,782,0.3441,0.3239,0.6970,0.4423,0.2426,0.2508,0.8144,0.3835,0.6,10,1,5,7,5,0.1,5,0.6,0.6,1,5,event_type
acled_event_food_rain_text_all_pca_1_4,827f8d86d0c24242993dfbab2b027d27,acled_event_food_rain_text_all,True,True,True,False,True,1,False,4,event_type,0.0814,64,0.2788,0.3056,1.0000,0.4681,0.2903,0.2245,1.0000,0.3667,0.6,10,1,5,7,5,0.1,5,0.6,0.6,1,4,event_type
acled_event_food_rain_text_all_1_4,d14ddbcf1b2e4bff8987fcf866e506ab,acled_event_food_rain_text_all,True,True,True,False,False,1,False,4,event_type,0.0946,782,0.3150,0.2899,0.7424,0.4170,0.2494,0.2368,0.7835,0.3636,0.6,5,0.1,1,7,0,0.1,1,0.6,0.6,1,4,event_type
acled_event_food_rain_text_all_pca_1_5,3c6ab664d0c1476d89fabb62b27d08bb,acled_event_food_rain_text_all,True,True,True,False,True,1,False,5,event_type,0.0120,64,0.2928,0.3056,1.0000,0.4681,0.2900,0.2245,1.0000,0.3667,0.8,1,0.1,1,5,5,0.05,1,0.8,0.8,1,5,event_type
acled_event_food_rain_text_all_1_5,66b30e070e0b4d0b8455d76d3e37ba54,acled_event_food_rain_text_all,True,True,True,False,False,1,False,5,event_type,0.0939,782,0.3020,0.3056,1.0000,0.4681,0.2567,0.2245,1.0000,0.3667,0.6,10,0,1,3,5,0.05,3,1.0,0.6,1,5,event_type
acled_sub_food_rain_0.5_4,11141ab913c3403cb972ec480830128d,acled_sub_food_rain,True,True,False,False,False,0.5,False,4,sub_event_type,0.3460,31,0.3446,0.3404,0.8000,0.4776,0.3604,0.3350,0.9716,0.4982,0.6,10,2,5,3,1,0.05,5,0.6,0.8,0.5,4,sub_event_type
acled_sub_food_rain_0.5_5,5cc022cf3c13474898f47073b67f851e,acled_sub_food_rain,True,True,False,False,False,0.5,False,5,sub_event_type,0.3786,31,0.3562,0.3444,0.6500,0.4502,0.3713,0.3358,0.6312,0.4384,0.8,5,2,5,7,5,0.05,5,1.0,0.6,0.5,5,sub_event_type
