run_name,run_id,data_version,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col
acled_event_text_conflict_threshold_change_pca_0.5_5,c73fa5508bcb4ab2af0eb89da3485416,acled_event_text_conflict_threshold_change,FALSE,FALSE,TRUE,TRUE,TRUE,0.5,5,event_type,0.2527,34,0.3745,0.3704,1,0.5405,0.4072,0.3883,0.9756,0.5556,0.6,5,0.1,5,7,5,0.03,3,0.6,0.8,0.5,5,event_type
acled_event_text_all_threshold_change_pca_0.5_4,e53d9ee407014ebf89fa1c94a3fd3729,acled_event_text_all_threshold_change,FALSE,FALSE,TRUE,FALSE,TRUE,0.5,4,event_type,0.1206,53,0.3508,0.3704,1,0.5405,0.4067,0.3796,1,0.5503,0.6,5,2,1,5,1,0.05,1,0.6,0.6,0.5,4,event_type
acled_event_text_all_threshold_change_pca_0.5_5,4b6f083eb7224610a2b717d50f806753,acled_event_text_all_threshold_change,FALSE,FALSE,TRUE,FALSE,TRUE,0.5,5,event_type,0.1456,53,0.4414,0.3704,1,0.5405,0.4121,0.3832,1,0.5541,1,5,0,1,7,5,0.1,3,0.6,0.6,0.5,5,event_type
acled_sub_text_conflict_threshold_change_pca_1_4,301c4cd298b54556a7e30c0c6f379d10,acled_sub_text_conflict_threshold_change,FALSE,FALSE,TRUE,TRUE,TRUE,1,4,sub_event_type,0.471,52,0.4179,0.4878,0.303,0.3738,0.4037,0.4412,0.2586,0.3261,0.6,10,1,3,7,1,0.05,5,0.6,1,1,4,sub_event_type
acled_sub_text_conflict_threshold_change_pca_1_5,40107d2109eb4539bd68b1771c0948dc,acled_sub_text_conflict_threshold_change,FALSE,FALSE,TRUE,TRUE,TRUE,1,5,sub_event_type,0.2207,52,0.3848,0.3028,0.6515,0.4135,0.3433,0.3043,0.6034,0.4046,0.8,1,1,3,3,1,0.1,3,1,0.6,1,5,sub_event_type
acled_sub_text_all_threshold_change_pca_1_4,fc2c964bb181408c847fb4cf09ddd420,acled_sub_text_all_threshold_change,FALSE,FALSE,TRUE,FALSE,TRUE,1,4,sub_event_type,0.2024,71,0.3148,0.2989,0.7879,0.4333,0.3736,0.3121,0.7586,0.4422,0.8,1,0,5,3,5,0.03,5,1,0.6,1,4,sub_event_type
acled_sub_text_all_threshold_change_pca_1_5,42063f01be174ac99efa6f4355f59762,acled_sub_text_all_threshold_change,FALSE,FALSE,TRUE,FALSE,TRUE,1,5,sub_event_type,0.1326,71,0.3535,0.301,0.8939,0.4504,0.3637,0.2768,0.8448,0.417,1,1,2,3,3,1,0.05,0,0.8,1,1,5,sub_event_type
acled_event_text_conflict_threshold_change_pca_1_4,3cf9acffcf5c4627a9a8a07c88a15f52,acled_event_text_conflict_threshold_change,FALSE,FALSE,TRUE,TRUE,TRUE,1,4,event_type,0.3404,34,0.4084,0.2891,0.5606,0.3814,0.4001,0.3008,0.6379,0.4088,0.8,10,1,3,3,0,0.1,5,1,0.8,1,4,event_type
acled_event_text_conflict_threshold_change_pca_1_5,3d9dd2b9b0e149a3b39b6498aec3fd27,acled_event_text_conflict_threshold_change,FALSE,FALSE,TRUE,TRUE,TRUE,1,5,event_type,0.3457,34,0.369,0.3056,1,0.4681,0.3914,0.2685,1,0.4234,0.8,10,2,3,3,5,0.01,5,0.8,0.8,1,5,event_type
acled_event_text_all_threshold_change_pca_1_4,d8613812b9b44efa8524ac5925df8bdf,acled_event_text_all_threshold_change,FALSE,FALSE,TRUE,FALSE,TRUE,1,4,event_type,0.0943,53,0.311,0.2888,0.8182,0.4269,0.3675,0.3067,0.7931,0.4423,1,1,0,5,7,5,0.03,0,0.6,1,1,4,event_type
acled_event_text_all_threshold_change_pca_1_5,e3dd3aaad93040bfb986946411e380f2,acled_event_text_all_threshold_change,FALSE,FALSE,TRUE,FALSE,TRUE,1,5,event_type,0.0837,53,0.2941,0.2843,0.8485,0.4259,0.3432,0.2896,0.9138,0.4398,0.8,1,2,1,3,5,0.1,1,0.8,0.8,1,5,event_type
acled_sub_threshold_change_0.5_4,06287bc4b0244e28a85a9c8968d2b0e1,acled_sub_threshold_change,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,4,sub_event_type,0.2418,27,0.4019,0.3704,1,0.5405,0.4111,0.3814,1,0.5522,0.6,10,2,5,5,1,0.05,1,0.8,0.6,0.5,4,sub_event_type
acled_sub_threshold_change_0.5_5,51d0598770994cc885f372b85af8bc2b,acled_sub_threshold_change,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,5,sub_event_type,0.348,27,0.3748,0.3467,0.65,0.4522,0.4126,0.4032,0.6098,0.4854,0.6,10,1,1,5,5,0.1,3,0.8,0.8,0.5,5,sub_event_type
acled_event_threshold_change_0.5_4,a737c1920f0e4065a711fe96e5751944,acled_event_threshold_change,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,4,event_type,0.285,9,0.3486,0.3738,1,0.5442,0.436,0.385,1,0.5559,0.6,5,2,1,7,5,0.03,3,0.8,1,0.5,4,event_type
acled_event_threshold_change_0.5_5,b5a7908b9c02408e8e4fea045a2c43e9,acled_event_threshold_change,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,5,event_type,0.2637,9,0.3777,0.3543,0.775,0.4863,0.4313,0.4214,0.8171,0.556,0.6,1,0.1,1,3,0,0.1,1,0.6,0.6,0.5,5,event_type
acled_sub_threshold_change_1_4,685f47756c9248c0a32f253d74318429,acled_sub_threshold_change,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,sub_event_type,0.4925,27,0.3334,0.2941,0.303,0.2985,0.3766,0.375,0.4655,0.4154,0.6,5,2,5,5,0,0.1,5,0.6,1,1,4,sub_event_type
acled_sub_threshold_change_1_5,1b0ea83261f84616b99b7efc55017b91,acled_sub_threshold_change,FALSE,FALSE,FALSE,FALSE,FALSE,1,5,sub_event_type,0.4295,27,0.3334,0.3438,0.5,0.4074,0.3766,0.3511,0.569,0.4342,0.6,5,2,5,5,0,0.1,5,0.6,1,1,5,sub_event_type
acled_event_threshold_change_1_4,75e74ae4141d4bd5ab7cd8841dc5b161,acled_event_threshold_change,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,event_type,0.4176,9,0.3167,0.2975,0.5455,0.385,0.3992,0.3303,0.6207,0.4311,0.6,1,0,3,5,5,0.03,5,0.8,0.8,1,4,event_type
acled_event_threshold_change_1_5,76bc5f8d603c48108c13b404a9f9dc73,acled_event_threshold_change,FALSE,FALSE,FALSE,FALSE,FALSE,1,5,event_type,0.4217,9,0.3316,0.3101,0.6061,0.4103,0.3967,0.3091,0.5862,0.4048,0.6,10,1,3,7,1,0.05,5,0.6,1,1,5,event_type
