run_name,run_id,data_version,threshold_fix_applied,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col
acled_event_food_text_conflict_0.5_5,f39a8d34abac4b7b89fabe7eac57d407,acled_event_food_text_conflict,False,True,False,True,True,False,0.5,5,event_type,0.0886,781,0.4528,0.3704,1.0000,0.5405,0.3443,0.3264,1.0000,0.4921,0.6,1,1,1,3,1,0.05,3,0.8,0.8,0.5,5,event_type
acled_event_food_text_all_pca_0.5_4,eaf89ba8bfc24615a1c402f0c695ccc6,acled_event_food_text_all,False,True,False,True,False,True,0.5,4,event_type,0.0551,63,0.3405,0.3704,1.0000,0.5405,0.3515,0.3264,1.0000,0.4921,0.6,5,2,5,7,0,0.1,1,0.6,0.6,0.5,4,event_type
acled_event_food_text_all_0.5_4,a49939cf9006412db48f326b764f39ae,acled_event_food_text_all,False,True,False,True,False,False,0.5,4,event_type,0.3871,781,0.3573,0.3704,1.0000,0.5405,0.3491,0.3271,1.0000,0.4930,0.8,5,2,5,3,0,0.01,0,0.8,0.6,0.5,4,event_type
acled_event_food_text_all_pca_0.5_5,3f06a20029bf42d393e3c4c9025fb7a8,acled_event_food_text_all,False,True,False,True,False,True,0.5,5,event_type,0.1844,63,0.3300,0.3497,0.8000,0.4867,0.3227,0.3296,0.8440,0.4741,0.8,1,0.1,3,7,5,0.05,5,0.8,0.8,0.5,5,event_type
acled_event_food_text_all_0.5_5,ecac2b81870f4527b3a16d22bfb1872a,acled_event_food_text_all,False,True,False,True,False,False,0.5,5,event_type,0.3414,781,0.3549,0.3464,0.6625,0.4549,0.3207,0.3346,0.6028,0.4304,1.0,10,0,1,5,0,0.1,5,0.8,0.8,0.5,5,event_type
acled_sub_food_text_conflict_pca_1_4,381bfc959424462998955fb1e88a898a,acled_sub_food_text_conflict,False,True,False,True,True,True,1,4,sub_event_type,0.4267,55,0.4170,0.2953,0.6667,0.4093,0.3076,0.2692,0.6495,0.3807,0.8,5,1,3,3,1,0.01,5,1.0,0.6,1,4,sub_event_type
acled_sub_food_text_conflict_1_4,fc7b7997ce0c4dc69e167e4c4709ae4e,acled_sub_food_text_conflict,False,True,False,True,True,False,1,4,sub_event_type,0.4467,799,0.3932,0.3333,0.6061,0.4301,0.3156,0.2664,0.6289,0.3742,0.8,5,2,5,3,0,0.01,0,0.8,0.6,1,4,sub_event_type
acled_sub_food_text_conflict_pca_1_5,07eb674054e84d6eb4723a74913ecf89,acled_sub_food_text_conflict,False,True,False,True,True,True,1,5,sub_event_type,0.2556,55,0.3883,0.3072,0.7121,0.4292,0.3273,0.2605,0.7010,0.3799,1.0,1,2,5,3,0,0.05,0,0.8,0.8,1,5,sub_event_type
acled_sub_food_text_conflict_1_5,12c3a1bfb11242fbbb45efae1fa2033f,acled_sub_food_text_conflict,False,True,False,True,True,False,1,5,sub_event_type,0.3757,799,0.3958,0.3084,1.0000,0.4714,0.2959,0.2282,1.0000,0.3716,0.8,10,2,3,3,5,0.01,5,0.8,0.8,1,5,sub_event_type
acled_sub_food_text_all_pca_1_4,fcab14fbeb5c455585f3cb5e844a5db7,acled_sub_food_text_all,False,True,False,True,False,True,1,4,sub_event_type,0.1064,81,0.3468,0.3005,0.8788,0.4479,0.3059,0.2562,0.8454,0.3933,1.0,5,0,1,3,5,0.1,0,1.0,0.6,1,4,sub_event_type
