run_name,run_id,data_version,threshold_fix_applied,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,train_cv_aupr,train_cv_f1,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col,price_recency
acled_event_text_all_threshold_change_pca_0.5_4,cfbcf7587d424e5695e34b6ab405248f,acled_event_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0.5,4,event_type,0.0678,60,0.3014,0.4245,0.3589,0.3704,1,0.5405,0.3795,0.3264,1,0.4921,0.6,10,1,1,5,5,0.1,1,0.6,0.8,0.5,4,event_type,FALSE
acled_event_text_all_threshold_change_0.5_4,e8a510644cc3408497e8d9d8c968f1e9,acled_event_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.5,4,event_type,0.3584,778,0.3217,0.4334,0.3942,0.3704,1,0.5405,0.3348,0.3264,1,0.4921,0.6,1,0,1,3,1,0.01,1,0.6,1,0.5,4,event_type,FALSE
acled_event_text_all_threshold_change_pca_0.5_5,987c3c5e19b144c3bec6da796ef0ec18,acled_event_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0.5,5,event_type,0.0305,60,0.3069,0.4317,0.3489,0.3704,1,0.5405,0.3621,0.3264,1,0.4921,0.6,1,0.1,1,3,0,0.1,1,0.6,0.6,0.5,5,event_type,FALSE
acled_event_text_all_threshold_change_0.5_5,edf9474d5d864966a75a1d7afbebb1a9,acled_event_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.5,5,event_type,0.1085,778,0.3228,0.4403,0.3423,0.3791,1,0.5498,0.3806,0.3287,1,0.4947,0.6,10,1,1,5,5,0.1,1,0.6,0.8,0.5,5,event_type,FALSE
acled_sub_text_conflict_threshold_change_pca_0.75_4,123f442c2a13497287ca4625dee74d43,acled_sub_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.75,4,sub_event_type,0.4663,52,0.2866,0.4045,0.3978,0.4066,0.4933,0.4458,0.3108,0.3237,0.4912,0.3902,1,5,1,3,7,5,0.01,5,1,0.6,0.75,4,sub_event_type,FALSE
acled_sub_text_conflict_threshold_change_0.75_4,cc69bd26d188479da8585375576d3617,acled_sub_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0.75,4,sub_event_type,0.4417,796,0.2675,0.3874,0.4492,0.3799,0.9067,0.5354,0.3282,0.2812,0.9474,0.4337,0.6,10,0.1,1,3,1,0.01,5,0.6,0.8,0.75,4,sub_event_type,FALSE
acled_sub_text_conflict_threshold_change_pca_0.75_5,1d0c7a7cab21402e994979780af86304,acled_sub_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.75,5,sub_event_type,0.1195,52,0.2718,0.3989,0.3935,0.3472,1,0.5155,0.312,0.267,1,0.4214,1,1,2,3,3,1,0.05,0,0.8,1,0.75,5,sub_event_type,FALSE
acled_sub_text_conflict_threshold_change_0.75_5,d322a4fb4ec04da4b039dcef673ef0c3,acled_sub_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0.75,5,sub_event_type,0.2308,796,0.2831,0.3984,0.4093,0.3512,0.96,0.5143,0.3339,0.2759,0.9561,0.4283,0.8,1,0,5,3,5,0.03,5,1,0.6,0.75,5,sub_event_type,FALSE
acled_sub_text_all_threshold_change_pca_0.75_4,f541ae5d79a74366aef700ffb6326abf,acled_sub_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0.75,4,sub_event_type,0.2395,78,0.2597,0.3861,0.3409,0.3474,0.9867,0.5139,0.3072,0.2727,0.9737,0.4261,1,1,0,5,7,5,0.01,0,0.6,1,0.75,4,sub_event_type,FALSE
acled_sub_text_all_threshold_change_0.75_4,aba2501029e840c1a79728091125d805,acled_sub_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.75,4,sub_event_type,0.1654,796,0.2689,0.3922,0.3276,0.3431,0.9333,0.5018,0.3358,0.2665,0.9912,0.4201,0.8,10,1,5,7,1,0.1,3,1,1,0.75,4,sub_event_type,FALSE
acled_sub_text_all_threshold_change_pca_0.75_5,b653bbad84eb48538d714d7751cc51c1,acled_sub_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0.75,5,sub_event_type,0.0176,78,0.2632,0.39,0.359,0.3472,1,0.5155,0.3227,0.2639,1,0.4176,0.6,5,0.1,1,7,0,0.1,1,0.6,0.6,0.75,5,sub_event_type,FALSE
acled_sub_text_all_threshold_change_0.75_5,6de18a2707a94ede9f4a2ffc5adbe280,acled_sub_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.75,5,sub_event_type,0.3096,796,0.2554,0.3906,0.3416,0.3472,1,0.5155,0.2892,0.2639,1,0.4176,0.6,5,2,1,5,1,0.01,1,0.6,0.8,0.75,5,sub_event_type,FALSE
acled_event_text_conflict_threshold_change_pca_0.75_4,6fb4342246124dab8205fe47ff03764c,acled_event_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.75,4,event_type,0.2346,34,0.2723,0.4023,0.379,0.3835,0.68,0.4904,0.3032,0.2857,0.7018,0.4061,0.6,10,1,1,5,5,0.1,1,0.6,0.8,0.75,4,event_type,FALSE
acled_event_text_conflict_threshold_change_0.75_4,7d05c29301ed4746b111aa1e7428e41d,acled_event_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0.75,4,event_type,0.1394,778,0.2705,0.3865,0.3685,0.3472,1,0.5155,0.3178,0.2639,1,0.4176,1,5,0.1,3,3,1,0.03,0,1,0.6,0.75,4,event_type,FALSE
acled_event_text_conflict_threshold_change_pca_0.75_5,a3e371e32a6b4aa28984a5bf28c2c3e4,acled_event_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.75,5,event_type,0.3814,34,0.2651,0.3919,0.3937,0.3884,0.6267,0.4796,0.2985,0.3096,0.5351,0.3923,1,5,2,1,7,5,0.1,3,0.8,0.8,0.75,5,event_type,FALSE
acled_event_text_conflict_threshold_change_0.75_5,0a9f2dab68bc40dda217bb6c6b58e684,acled_event_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0.75,5,event_type,0.3999,778,0.2527,0.3921,0.4006,0.3682,0.9867,0.5362,0.3352,0.274,1,0.4302,0.8,10,2,3,3,5,0.01,5,0.8,0.8,0.75,5,event_type,FALSE
acled_event_text_all_threshold_change_pca_0.75_4,2289214a79804e27b201813a946850b0,acled_event_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0.75,4,event_type,0.0208,60,0.2634,0.385,0.3581,0.3472,1,0.5155,0.2934,0.2639,1,0.4176,0.6,1,1,1,3,0,0.1,1,0.6,0.8,0.75,4,event_type,FALSE
acled_event_text_all_threshold_change_0.75_4,1f08f262c3cc476b954e83f2ac4e11c8,acled_event_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.75,4,event_type,0.1683,778,0.2654,0.4,0.3429,0.3472,1,0.5155,0.3064,0.2639,1,0.4176,0.6,10,0.1,1,3,0,0.05,0,0.8,0.6,0.75,4,event_type,FALSE
acled_event_text_all_threshold_change_pca_0.75_5,e19b649c9b8b432fbc516f413fc8981c,acled_event_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0.75,5,event_type,0.0519,60,0.265,0.3907,0.3747,0.3472,1,0.5155,0.3117,0.2639,1,0.4176,0.6,10,1,1,5,5,0.1,1,0.6,0.8,0.75,5,event_type,FALSE
acled_event_text_all_threshold_change_0.75_5,23a4ce5cb2cf4209a5a1f0c2266bafeb,acled_event_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.75,5,event_type,0.0966,778,0.266,0.3965,0.3505,0.3431,0.9333,0.5018,0.2987,0.2693,0.886,0.4131,0.6,1,1,1,3,0,0.1,1,0.6,0.8,0.75,5,event_type,FALSE
acled_sub_text_conflict_threshold_change_pca_1_4,cfc2f1a991f24a5da4e5d1287472bed8,acled_sub_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,4,sub_event_type,0.4048,52,0.2564,0.338,0.3694,0.35,0.9545,0.5122,0.3042,0.2409,0.9588,0.3851,0.6,10,0.1,5,5,5,0.01,1,0.6,0.8,1,4,sub_event_type,FALSE
acled_sub_text_conflict_threshold_change_1_4,d67e610513fc4e7f9c1d6ce0c0b8bfb9,acled_sub_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1,4,sub_event_type,0.3938,796,0.2511,0.3435,0.3824,0.3249,0.9697,0.4867,0.2936,0.2372,1,0.3834,0.8,10,0.1,3,3,5,0.01,3,1,0.8,1,4,sub_event_type,FALSE
acled_sub_text_conflict_threshold_change_pca_1_5,cb5278bfd00c4ba3a64d4cffffef60e1,acled_sub_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,5,sub_event_type,0.2238,52,0.2505,0.3386,0.3637,0.3143,0.6667,0.4272,0.3189,0.2735,0.6598,0.3867,1,5,0,1,7,5,0.1,3,0.6,0.6,1,5,sub_event_type,FALSE
acled_sub_text_conflict_threshold_change_1_5,21d776c633e74d6c80963338bc9f3ff9,acled_sub_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1,5,sub_event_type,0.0359,796,0.2591,0.3336,0.3597,0.3056,1,0.4681,0.2951,0.2261,1,0.3688,0.6,1,2,5,3,0,0.1,3,1,0.8,1,5,sub_event_type,FALSE
acled_sub_text_all_threshold_change_pca_1_4,2c4a2f664c544031a179f7ae8e4cb24c,acled_sub_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1,4,sub_event_type,0.0448,78,0.2367,0.3298,0.2817,0.3056,1,0.4681,0.2835,0.2245,1,0.3667,0.6,1,0.1,1,3,0,0.1,1,0.6,0.6,1,4,sub_event_type,FALSE
acled_sub_text_all_threshold_change_1_4,77a83268d66340149df2ee07f535ed5e,acled_sub_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,4,sub_event_type,0.0103,796,0.2262,0.3278,0.3174,0.3056,1,0.4681,0.2599,0.2245,1,0.3667,0.6,1,1,1,3,0,0.1,1,0.6,0.8,1,4,sub_event_type,FALSE
