run_folder,run_name,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,food,rain,text,conflict_text,pca,k,n
cd0b8eae842745e8b414c5d8e37021fc,acled_sub_food_rain_text_conflict_1_5,0.3621,801,0.3855,0.307,1.0,0.4698,0.3606,0.2685,1.0,0.4234,True,True,True,True,False,1.0,5
793b6873013b4cc084064d080dc6e07f,acled_sub_food_rain_text_all_pca_1_4,0.376,76,0.3249,0.3011,0.4242,0.3522,0.3306,0.3218,0.4828,0.3862,True,True,True,False,True,1.0,4
19535782976c4a9fa23e16eeb2a04d78,acled_sub_food_rain_text_all_1_4,0.1454,801,0.3151,0.2898,0.7727,0.4215,0.362,0.2994,0.8103,0.4372,True,True,True,False,False,1.0,4
3ed2cf6e9b0e461e83dd8ec1c3b0c0f7,acled_sub_food_rain_text_all_pca_1_5,0.2742,76,0.3407,0.3082,0.7424,0.4356,0.3596,0.3145,0.6724,0.4286,True,True,True,False,True,1.0,5
098e697a7e364d7b9bc07dd9f00b54a0,acled_sub_food_rain_text_all_1_5,0.0407,801,0.2957,0.3066,0.9848,0.4676,0.344,0.2714,0.9828,0.4254,True,True,True,False,False,1.0,5
7fbc6a98794b4e20a8d6fe0e28924a38,acled_event_food_rain_text_conflict_pca_1_4,0.4554,39,0.3396,0.2837,0.6061,0.3865,0.4085,0.3041,0.7759,0.4369,True,True,True,True,True,1.0,4
7e8bedd11e17496795995a9d5bf4ad13,acled_event_food_rain_text_conflict_1_4,0.2553,783,0.3779,0.3056,1.0,0.4681,0.316,0.2685,1.0,0.4234,True,True,True,True,False,1.0,4
96bd4b5eaca8420f94ae5b61393f44d4,acled_event_food_rain_text_conflict_pca_1_5,0.3358,39,0.3241,0.2826,0.5909,0.3824,0.3451,0.2759,0.6897,0.3941,True,True,True,True,True,1.0,5
0af01f6bf7514481bcd2d002f92690b3,acled_event_food_rain_text_conflict_1_5,0.3791,783,0.3637,0.3084,1.0,0.4714,0.3494,0.2736,1.0,0.4296,True,True,True,True,False,1.0,5
b76e847a1a054a308b8cfb95b5286c51,acled_event_food_rain_text_all_pca_1_4,0.1035,58,0.3114,0.3056,1.0,0.4681,0.2959,0.2685,1.0,0.4234,True,True,True,False,True,1.0,4
12e7eee6c06b4ebbb1a22172a53a3117,acled_event_food_rain_text_all_1_4,0.1034,783,0.2877,0.3152,0.8788,0.464,0.3149,0.293,0.7931,0.4279,True,True,True,False,False,1.0,4
06cd81673493481dad5af3f93b712d4d,acled_event_food_rain_text_all_pca_1_5,0.2686,58,0.3225,0.2963,0.7273,0.4211,0.3584,0.3023,0.6724,0.4171,True,True,True,False,True,1.0,5
8229ebf3c2054069b203ab003862867d,acled_event_food_rain_text_all_1_5,0.101,783,0.3018,0.322,1.0,0.4871,0.273,0.2745,0.9655,0.4275,True,True,True,False,False,1.0,5
d8a559ffc6fb4e70a8afa2a18322445c,acled_sub_food_rain_0.25_4,0.2174,32,0.4141,0.4213,1.0,0.5928,0.4094,0.4259,1.0,0.5974,True,True,False,False,False,0.25,4
8baf8b390aee45a3b8128a40f76dba28,acled_sub_food_rain_0.25_5,0.3123,32,0.4111,0.4213,1.0,0.5928,0.4546,0.4252,0.9891,0.5948,True,True,False,False,False,0.25,5
bcc80ef0e5754d31a81be1a2841c5c29,acled_event_food_rain_0.25_4,0.0818,14,0.4162,0.4213,1.0,0.5928,0.4469,0.4259,1.0,0.5974,True,True,False,False,False,0.25,4
cd45a09905374efa88b89d27947dfedd,acled_event_food_rain_0.25_5,0.2929,14,0.3946,0.4178,0.978,0.5855,0.4494,0.4313,0.9891,0.6007,True,True,False,False,False,0.25,5
2033b8d0d018402fb59255566877479c,acled_sub_food_rain_0.5_4,0.2193,32,0.3392,0.3709,0.9875,0.5392,0.3999,0.3821,0.9878,0.551,True,True,False,False,False,0.5,4
fb7cdfbd1f804598836b6ba1e3473b2a,acled_sub_food_rain_0.5_5,0.4156,32,0.34,0.3674,0.9875,0.5356,0.4071,0.3796,1.0,0.5503,True,True,False,False,False,0.5,5
f6fd2458b4584c83abcaf5ae1339b8b9,acled_event_food_rain_0.5_4,0.3978,14,0.3297,0.3484,0.675,0.4596,0.4391,0.392,0.5976,0.4734,True,True,False,False,False,0.5,4
7a96ec1498464f7fa0f266dd9d45ba32,acled_event_food_rain_0.5_5,0.2458,14,0.3296,0.3641,0.8375,0.5076,0.3969,0.3923,0.8659,0.5399,True,True,False,False,False,0.5,5
f8d25252197c496386cb0e339952e436,acled_sub_food_rain_0.75_4,0.3491,32,0.3511,0.3453,0.64,0.4486,0.4107,0.3306,0.6029,0.4271,True,True,False,False,False,0.75,4
670c18fcce0e44dab97a304c06e1bbe2,acled_sub_food_rain_0.75_5,0.3803,32,0.3592,0.373,0.6267,0.4677,0.3735,0.3445,0.6029,0.4385,True,True,False,False,False,0.75,5
e0af13851d3e403e9e7f8343b248aceb,acled_event_food_rain_0.75_4,0.0424,14,0.3472,0.3472,1.0,0.5155,0.3917,0.3163,1.0,0.4806,True,True,False,False,False,0.75,4
448c2e50be3d4363a6716e813a67a520,acled_event_food_rain_0.75_5,0.2792,14,0.3486,0.3457,0.7467,0.4726,0.3923,0.3239,0.6765,0.4381,True,True,False,False,False,0.75,5
3e43d16773244a6f938db4b220e064e6,acled_sub_food_rain_1_4,0.0676,32,0.3453,0.3026,0.8939,0.4521,0.3666,0.3005,0.9483,0.4564,True,True,False,False,False,1.0,4
b9385527befb4aa092f2af7da6f97093,acled_sub_food_rain_1_5,0.2032,32,0.3453,0.3019,0.7273,0.4267,0.3666,0.3101,0.6897,0.4278,True,True,False,False,False,1.0,5
b5f604b526534d258c92c1a51ff4b8c7,acled_event_food_rain_1_4,0.2765,14,0.2971,0.3083,0.6212,0.4121,0.3913,0.3167,0.6552,0.427,True,True,False,False,False,1.0,4
1b319f8260064b9386b83fac25feb80d,acled_event_food_rain_1_5,0.3055,14,0.3036,0.2857,0.6061,0.3883,0.4103,0.3016,0.6552,0.413,True,True,False,False,False,1.0,5
f393e6859cf0472582ba503dde8a846d,acled_sub_food_text_conflict_pca_0.25_4,0.4122,56,0.4804,0.4206,0.989,0.5902,0.4309,0.4259,1.0,0.5974,True,False,True,True,True,0.25,4
bab19dab941140e5a77f1e8160e893c2,acled_sub_food_text_conflict_0.25_4,0.2058,800,0.5075,0.4252,1.0,0.5967,0.4402,0.4259,1.0,0.5974,True,False,True,True,False,0.25,4
cdb64b4166ca45ea9fcc2b8fa902e1e5,acled_sub_food_text_conflict_pca_0.25_5,0.2618,56,0.4361,0.4064,0.8352,0.5468,0.4328,0.4402,0.8804,0.587,True,False,True,True,True,0.25,5
